008BA200    ParseBBE
00FEB3A0    RemoteStorage::PopulateItemListFromResults
00BC5140    BnetParty::AutoCreateMyParty
00BE0040    RemoteStorage::OnListHeroDigests
00D84270    ErrorManagerInspector::CreateErrorReportFile
00B9C100    BnetGames_sub_BAF360
00B21F40    BNetClientService::Shutdown
00C3A520    PartyListener::OnPartyJoined
00BD7EB0    Platform::InitializeAllAPIs
00D8C8AC    start
00B9DDD0    BnetGames::JoinPartyMemberToMyGame
00ACC850    Window::GetGraphicsInfo
00A775E0    BnetService::Authentication::LogonCallback
00A79F00    BnetService_sub_A7BAF0
00B9FA20    BnetGames::JoinGame
00D3E0C0    CDebug::OutputDebugString
00ACA580    sBlitHWCursorToBuffer
00A79320    BnetService::BnetService
00BD90A0    Platform_sub_B8E610
00D83E10    ErrorManagerInspector::LaunchInspectorReporterApplication
00D65190    CDebug::OutputCommonDebugString
00A72740    BnetService::ReportPlayer
00A7A870    BnetService::Authentication_OnModuleMessage
00ACA330    Window_sub_AFC930
0081BC10    SNOGetStringlist
00C35850    BnetGameAccount::HeroCreate_OnReceivedHeroDigests
00FC6000    Platform_sub_FA54E0
0081E610    sOpenPatchMopaqs
00CAC4B0    StartAddress
00ACD120    Window::Release
0092B720    InitializeGameStructs
00ACA750    Window_sub_AFCD50
00A6FB70    BnetService_sub_A71860
00ACA150    Window::GetDisplayMode
00BD5500    BnetRID::GameAccountLogon_OnGetGameAccountDigestResponse
00FEBD20    RemoteStorage::OnLoadAccountDigest
00D0A720    fnInternetCallback
00C5CEC0    TimerFunc
0083F320    StringToAttrib
00FC6160    Platform::Disconnect
00FD9F80    Platform::APIInitialize_Followers
00FDA1E0    Platform::APIInitialize_Chat
00FD9BF0    Platform::APIInitialize_Authentication
00FDA440    Platform::APIInitialize_UserManager
00FDA6A0    Platform::APIInitialize_GameServer
00FDA900    Platform::APIInitialize_Exchange
00FDA7D0    Platform::APIInitialize_GameUtilities
00FDAA30    Platform::APIInitialize_ExchangeObjectProvider
00FD9D20    Platform::APIInitialize_Toons
00FDA570    Platform::APIInitialize_Resources
00FD3DF0    Platform::APIInitialize_Presence
00FDA0B0    Platform::APIInitialize_Party
00FDA310    Platform::APIInitialize_Whisper
00FD9E50    Platform::APIInitialize_Friends
00FDAB60    Platform::APIInitialize_Games
00A6CCD0    BnetService_sub_A6EA70
00822F00    GameTesting::SetTestType
00B707C0    sCampaign_SearchForPublicGameEvent
00FD8220    Platform::DestroyInterface
00AC88F0    Window_sub_AFAE60
00C9E500    OpenMpq
00A78530    BnetService_sub_A7A100
0091B680    Direct3D::SoftReset
00C34460    BnetGameAccount::SwitchCurrentHero_OnSelectToon
00AC9760    Window::CreateTexture
00BA01D0    BnetGames::Platform_CancelFindGameCallback
00BBEA00    BnetParty::LockStatusChange_SetJoinPermission
00ACE080    Window::SetSamplerState
00AC8CE0    Window_sub_AFB290
00BDF6D0    RemoteStorage::OnGetAccountItems1
00BBF2F0    BnetParty::InvokeReceivedInviteToPartyEvent
00FD3F60    Platform::APIInitialize_Search
00FD4060    Platform::APIInitialize_RemoteLock
00FD4360    Platform::APIInitialize_LocalStorage
00FD4260    Platform::APIInitialize_RemoteStorage
00FD4160    Platform::APIInitialize_Identity
00C369E0    BnetGameAccount::HeroCreate_OnSelectToon
00BD6550    BnetRID::GameAccountLogon_OnGetGameAccountClientSettingsResponse
00884440    ACDCreate
00FDAE20    Platform::RequestFields
00CABFC0    TopLevelExceptionFilter
00D84F20    CreateCrashDumpFile
00A762C0    BnetService::Connect
00A7A3F0    BnetService::Authentication_DisplayAgreementCallback
00BDF400    RemoteStorage::OnGetHeroItems1
00A79840    BnetService::LogoutSynchronously
00FE9A10    RemoteStorage::OnLoadHeroDigest
00C37090    BnetGameAccount::HeroCreate_OnCreateToon
00AC9F00    Window::CreateDevice
00FD9790    Platform::Initialize
00B9C4A0    BnetGames_sub_BAF700
00ACA990    Window_sub_AFCF90
00FD9AC0    Platform::ConnectEx
00A6A010    BnetService_sub_A6BD10
00D49720    XNetAddress::FromString
00ACADB0    Window::Clear
00CE6300    Blizzard::Hardware::CpuSpeed
00A6A020    BnetService_sub_A6BD20
00ACFD60    Window::SetVertexDeclaration
00BD6C10    Platform::WaitForBasicInitialized
00CDE220    Blizzard::Patch::ApplyTransform
00FA9E60    Blizzard::Streaming::Transport::TransportHttpCallback::Completed
